"Fecha","Residencial","Comercial","Industrial","Alumbrado Público","Agrícola","Otros","Total","Nota"
"01-MAR-14","17.030","16.861","15.352","17.448","17.758","15.163","16.711","PRELIMINAR"
"01-FEB-14","16.890","16.762","15.045","18.289","17.353","15.204","16.566",""
"01-JAN-14","14.315","14.101","12.924","13.941","14.7","12.653","14.023",""
"01-DEC-13","13.159","13.178","12.107","14.439","14.548","12.358","13.038",""
"01-NOV-13","14.436","14.725","12.472","16.588","15.135","14.201","14.321",""
"01-OCT-13","15.943","15.519","15.491","15.244","16.487","13.6","15.666",""
"01-SEP-13","14.576","15.07","12.408","14.147","15.162","12.139","14.518",""
"01-AUG-13","15.809","15.779","15.017","18.515","16.791","13.803","15.728",""
"01-JUL-13","15.218","14.927","13.385","15.618","15.823","13.239","14.83",""
"01-JUN-13","14.334","14.216","12.171","14.86","15.182","14.202","13.967",""
"01-MAY-13","14.608","14.57","12.972","16.219","15.33","13.901","14.382",""
"01-APR-13","15.751","15.436","14.212","15.059","16.366","13.603","15.354",""
"01-MAR-13","15.897","15.71","14.368","15.764","13.924","13.944","15.576",""
"01-FEB-13","22.173","20.783","18.384","21.69","22.161","18.582","20.882",""
"01-JAN-13","15.165","15.411","13.626","17.096","16.119","14.075","15.106",""
"01-DEC-12","15.239","17.211","15.488","18.602","18.05","15.174","16.053",""
"01-NOV-12","12.316","15.222","12.328","15.097","14.838","12.375","13.876",""
"01-OCT-12","13.087","18.481","16.835","19.819","19.643","16.695","16.357",""
"01-SEP-12","13.383","17.474","17.329","17.337","18.892","14.291","15.527",""
"01-AUG-12","16.068","17.834","15.779","19.57","18.98","15.877","16.9",""
"01-JUL-12","16.232","14.747","14.296","25.804","12.437","17.489","15.368",""
"01-JUN-12","20.772","24.219","24.975","(0.34)","20.466","28.504","23.876",""
"01-MAY-12","13.99","17.848","11.556","1.643","18.977","16.28","13.7",""
"01-APR-12","16.478","21.506","17.887","37.011","22.356","18.675","19.374",""
"01-MAR-12","17.612","17.513","15.679","19.055","18.632","16.451","17.296",""
"01-FEB-12","18.961","19.003","16.413","21.686","20.813","16.9","18.589",""
"01-JAN-12","14.769","17.85","16.295","17.649","19.725","16.575","16.524",""
"01-DEC-11","14.646","17.061","15.291","18.198","18.575","15.186","15.895",""
"01-NOV-11","16.477","16.039","14.991","16.808","16.31","14.659","16.043",""
"01-OCT-11","18.665","18.181","16.143","21.038","20.827","16.7","18.075",""
"01-SEP-11","18.856","18.662","17.031","18.777","20.439","17.116","18.489",""
"01-AUG-11","19.019","18.304","16.966","18.145","19.608","16.545","18.38",""
"01-JUL-11","17.714","17.387","15.947","18.569","18.572","15.937","17.312",""
"01-JUN-11","18.469","18.117","16.512","19.643","19.808","16.364","18.018",""
"01-MAY-11","16.42","15.961","14.775","16.517","16.883","14.829","15.945",""
"01-APR-11","16.952","16.445","15.012","17.295","18.576","14.825","16.411",""
"01-MAR-11","17.051","16.643","15.175","17.525","18.434","15.288","16.554",""
"01-FEB-11","15.129","14.247","13.587","14.639","16.408","13.485","14.453",""
"01-JAN-11","14.439","14.082","13.056","14.678","14.208","12.824","14.061",""
"01-DEC-10","14.071","13.746","12.103","15.904","14.953","12.378","13.644",""
"01-NOV-10","11.495","11.287","10.267","12.079","13.813","10.309","11.217",""
"01-OCT-10","13.366","12.583","11.53","12.18","12.746","11.525","12.68",""
"01-SEP-10","11.986","11.716","10.774","12.365","13.29","10.459","11.69",""
"01-AUG-10","12.21","11.717","10.704","12.178","12.328","10.758","11.749",""
"01-JUL-10","12.024","11.735","10.631","12.865","13.275","10.594","11.7",""
"01-JUN-10","13.04","12.491","11.377","12.479","13.42","11.311","12.532",""
"01-MAY-10","13.029","12.997","11.935","13.238","14.222","11.859","12.833",""
"01-APR-10","13.082","12.4","11.342","12.977","13.808","11.302","12.489",""
"01-MAR-10","13.397","12.808","11.733","13.583","14.006","11.728","12.866",""
"01-FEB-10","14.684","13.723","12.46","14.787","15.864","12.28","13.832",""
"01-JAN-10","12.63","11.788","10.951","11.866","12.404","10.792","11.986",""
"01-DEC-09","12.442","11.61","10.327","12.352","13.517","10.399","11.724",""
"01-NOV-09","12.085","11.346","10.379","11.527","11.855","10.497","11.454",""
"01-OCT-09","12.205","11.462","10.505","12.838","13.015","10.239","11.608",""
"01-SEP-09","10.762","10.162","9.347","10.731","10.426","9.242","10.253",""
"01-AUG-09","10.463","9.93","8.799","10.77","11.304","8.838","9.973",""
"01-JUL-09","10.465","9.641","8.676","9.297","11.52","8.788","9.788",""
